_element_key,_element_name,_element_type,_list_child_element_keys
comment_1,comment_1,string,[]
comment_2,comment_2,string,[]
comment_3,comment_3,string,[]
comment_custom,comment_custom,string,[]
condition_1,condition_1,integer,[]
condition_2,condition_2,integer,[]
condition_3,condition_3,integer,[]
condition_4,condition_4,integer,[]
crown_percentage,crown_percentage,number,[]
ground_percentage,ground_percentage,number,[]
lean_angle,lean_angle,number,[]
main_stem,main_stem,integer,[]
plot,plot,integer,[]
predisposing,predisposing,integer,[]
proximate,proximate,integer,[]
rooting,rooting,integer,[]
support_percentage,support_percentage,number,[]
tag,tag,integer,[]
tree_percentage,tree_percentage,number,[]
